skeleton_id," ""neuron_name""",,
11995,"""Ladder-a a1","11995""",
160708,"""Ladder-b t3","160708""",
183502,"""A09e_a4l","183502""",
255168,"""A08f a3l","255168""",
366296," ""classIII-related descending sog left","366296""",
471705,"""Ladder-d_a1","471705""",
471720,"""Ladder-c a1","471720""",
471755,"""Ladder-b a1","471755""",
474609,"""A12y a1l","474609""",
477729,"""A09j_a3r","477729""",
488634,"""neuron 488635","488634""",
538171,"""NOT a SN (not lch5-5 PN right)","538171""",
542433,"""handle-2 or 3_t3","542433""",
627858,"""A09e_a4r","627858""",
689215,"""t2l contralateral pre lch5","689215""",
719881," ""classIII-related descending sog right","719881""",
734837,"""A09q_a7r classIV-related projection D right","734837""",
748429,"""neuron 748430","748429""",
1113488,"""lch5-2/4_contra_projection_t3l VLEL9_t3l","1113488""",
1224945," ""projection neuron Right / TODO","1224945""",
1369495," ""ascending neuron right","1369495""",
1370785,"""A09e_a5l","1370785""",
1376947,"""A02?_a2l Pseudolooper-3/4","1376947""",
1401061,"""A02o_a5r Wave-1","1401061""",
1716788,"""A09o_a3l","1716788""",
1927577,"""A08n classIV-related projection A left","1927577""",
2042488,"""hook? t3l","2042488""",
2108484,"""work 08022018","2108484""",
2123393,"""could be A08m2","2123393""",
2123422,"""hook-1_a1l","2123422""",
2194374,"""A02o_a3l Wave-1","2194374""",
2226852,"""lch5-24_contra_projection_t3r VLEL9_t3r","2226852""",
2370290,"""A09e_a5r","2370290""",
2429370,"""Ladder-b a3","2429370""",
2583770,"""A10a_a2l Chair-1","2583770""",
2625913,"""neuron 2625914","2625913""",
2637812,"""A02n_a1r Pseudolooper-4","2637812""",
2661957,"""Griddle-2 a2l","2661957""",
2664230,"""Jupiter A08h2 a3r","2664230""",
2667974,"""Ladder_a3 (post lch5-2/4)","2667974""",
2693651,"""A09o_a3r","2693651""",
2708596," ""Fragment","2708596""",
2743423,"""A23i_a2l","2743423""",
2755720,"""A09e?_a6r","2755720""",
2762464,"""hook-3_a2r","2762464""",
2784471,"""hook-1_a1r","2784471""",
2832320,"""NOT a SN (lch5-5 PN left)","2832320""",
2874015," ""ambiguous fragment","2874015""",
2975298,"""T06o t2r","2975298""",
2975521,"""Jupiter A08h2 t3l","2975521""",
2982502,"""A12y a2r","2982502""",
2986525,"""T06o t2l","2986525""",
3034133,"""A09b a1l Basin-1","3034133""",
3040481,"""A09c a1l Basin-4","3040481""",
3041612,"""A09a a1l Basin-2","3041612""",
3043553,"""A09b Basin-1 a2l","3043553""",
3056163,"""A09a_a2l Basin-2","3056163""",
3065790,"""A09c Basin-4 a2l","3065790""",
3068209," ""handle","3068209""",
3074106,"""A09a a1r Basin-2","3074106""",
3091943,"""A09g a1r Basin-3","3091943""",
3134700,"""a12y a3l","3134700""",
3176470,"""A09g a2l Basin-3","3176470""",
3180525,"""A03o_a1r","3180525""",
3241605,"""A09j_a3l","3241605""",
3281615,"""A09l_a2l Down-and-back-1","3281615""",
3282869,"""A09b a1r Basin-1","3282869""",
3305209,"""putative looper a2 left","3305209""",
3427449,"""A09c_t3l Basin-4-like","3427449""",
3436420," ""Pre PMN R right","3436420""",
3504632,"""A02c?_a1l","3504632""",
3509322,"""A10g2_a1l","3509322""",
3546334,"""A02m_a1r Pseudolooper-3","3546334""",
3546835,"""A02n_a1l Pseudolooper-4","3546835""",
3547819,"""A02m/n_a2r Pseudolooper-3/4","3547819""",
3567420,"""ddaC_t3r","3567420""",
3594705,"""hugin-VNC right 2","3594705""",
3661586,"""SelN138 classIV-related descending sog left","3661586""",
3778453,"""Pre-goro11_a3r","3778453""",
3792035,"""A05q_a2l","3792035""",
3846657,"""v'ada t3r","3846657""",
3863488,"""hook-2_a2r","3863488""",
3945232," ""Sleepy Left","3945232""",
3945454,"""Sleepy-2 Left","3945454""",
3995976,"""A01d3_a1l","3995976""",
4022794,"""Handle-A a1","4022794""",
4049878,"""A09c a1r Basin-4","4049878""",
4054001,"""A03o_a2l","4054001""",
4071032,"""A02f_a1l","4071032""",
4096366,"""Drunken-1 a1r","4096366""",
4102844,"""A09l_a1r (Down-and-back-1)","4102844""",
4163234,"""A10j_a3r","4163234""",
4213417,"""A27k_a1l","4213417""",
4219827,"""A01k_a1r","4219827""",
4228864,"""A08h2_a2r (Jupiter right","4228864""",
4263694,"""A27j_a2r","4263694""",
4302562,"""A03o_a1l","4302562""",
4303648,"""neuron 4303649","4303648""",
4321712,"""Handle-B a1","4321712""",
4364826," ""Grumpy_left","4364826""",
4372691,"""A08m2? a2l","4372691""",
4386719,"""A06f_a1l (Saaghi-2)","4386719""",
4428753,"""A02?_t2r Pseudolooper-3/4","4428753""",
4480794,"""A03? a3r","4480794""",
4571304,"""t3 diverse contralateral interneuron right ASB","4571304""",
4589092,"""A02o_a2l Wave-1","4589092""",
4595609,"""pCC a1l","4595609""",
4628271,"""A08h4b_a2l","4628271""",
4715415,"""A02k Pseudolooper-1_a1l","4715415""",
4717261,"""A02o_a2r Wave-1","4717261""",
4725907,"""A07f2_a1r (marathon)","4725907""",
4731383,"""A01d3_t3r (T01d3)","4731383""",
4740178,"""A05q_a1l","4740178""",
4778439,"""A02m_a1l Pseudolooper-3","4778439""",
4824878,"""Griddle-1 a1r","4824878""",
4833168,"""A05q_a1r","4833168""",
4840763,"""a08h?_t3l ventral lateral soma","4840763""",
4871599,"""a1 basin-2 to contra PN_a2r","4871599""",
4890222,"""descending pre-lch5 t2r a23i","4890222""",
4913256,"""Ladder_a3 another (pre-lch5-3 axon)","4913256""",
4928976,"""A23i a1l","4928976""",
4933586,"""Ladder t3 max_descending","4933586""",
4935973,"""A10e_a2r","4935973""",
4981055,"""A03j?_a1l (premotor)","4981055""",
4995321,"""handle-B or C? t3","4995321""",
5007013," ""SOG_somato_left","5007013""",
5064747,"""A05q_a2r","5064747""",
5078760,"""A18j_a1l","5078760""",
5087783,"""neuron 5087784","5087783""",
5114804,"""A09a_a2r Basin-2","5114804""",
5132886,"""A23g_a1l","5132886""",
5201093,"""A00d-a1","5201093""",
5246918,"""Fragments 2014-01-18 14:57","5246918""",
5252487,"""Pre-goro11_a3l","5252487""",
5343532,"""T05t_t3l","5343532""",
5343539,"""ladder_t2","5343539""",
5357465,"""A06f_t3l (Saaghi-2)","5357465""",
5602717,"""Ladder_t1 (descending)","5602717""",
5662837,"""A12l?","5662837""",
5690362,"""A10a_a1r Chair-1","5690362""",
5692212,"""neuron 5692213","5692212""",
5731368,"""A00c_A8l?","5731368""",
5777494,"""A03o_a2l","5777494""",
5837659,"""soma is likely a3l dorsal","5837659""",
5881999,"""Handle-B a2","5881999""",
5997121,"""A23g_a1r","5997121""",
5997132,"""drunken-1_a2l","5997132""",
6062423,"""T10a t3r Chair-1","6062423""",
6105640,"""A09o_a5r","6105640""",
6207232,"""Drunken-1 a1l","6207232""",
6236300,"""mdIII?_t3l ddaF t3l class III md","6236300""",
6237230,"""large gap fragment; suspect A19?","6237230""",
6246099,"""A08v_a3r","6246099""",
6260963,"""neuron 6260964","6260963""",
6263055,"""hook-2_a1r","6263055""",
6297580,"""A08y a2r","6297580""",
6299908,"""A23k_a1l","6299908""",
6330796,"""A19b a1l","6330796""",
6337532,"""A08y a2l","6337532""",
6400992," ""neuron","6400992""",
6412532,"""hook-2_a1l","6412532""",
6489317,"""a1l ventral soma (A10?)","6489317""",
6535161,"""A10a_a1l Chair-1","6535161""",
6577710,"""A19?_a1r","6577710""",
6578062,"""A02b_a1l","6578062""",
6598987,"""neuron 6598988","6598987""",
6660660,"""A00c_A8l?","6660660""",
6749065,"""neuron 6749066","6749065""",
6755064,"""A08m_a1r","6755064""",
6811349,"""A01x3_a1r","6811349""",
6812313," ""SOG_somato_right","6812313""",
6878840,"""neuron 6878841","6878840""",
6888315,"""A07c4?_a1l","6888315""",
6953958,"""A27j_a2l","6953958""",
7076629,"""A08y a3l","7076629""",
7124056,"""A09l_t3l Down-and-back-1","7124056""",
7184082,"""A08x_a1r","7184082""",
7195651,"""Griddle-1 a1l","7195651""",
7218310,"""neuron 7218311","7218310""",
7236899,"""non-ch partner 1 a1r","7236899""",
7478138,"""A12l_a3r","7478138""",
7533574,"""A12l_a3r putative","7533574""",
7551677,"""saddle-type neuron a1r","7551677""",
7553465,"""A12l_a1l","7553465""",
7553472,"""neuron 7553473","7553472""",
7557627,"""neuron 7557628","7557627""",
7581474,"""A12y a2l","7581474""",
7582571,"""neuron 7582572","7582571""",
7595325,"""A03b2_a3l","7595325""",
7599503,"""Ladder-e a1","7599503""",
7602682,"""neuron 7602683","7602682""",
7606070,"""Ladder-e a2","7606070""",
7606082,"""Ladder-b a2","7606082""",
7606100,"""Ladder-d a2","7606100""",
7606126,"""Ladder-c a2","7606126""",
7630097,"""Flat LN t3r","7630097""",
7657327,"""Ladder-a a2","7657327""",
7668305,"""drunken-1_a2r","7668305""",
7675760,"""neuron 7675761","7675760""",
7683401,"""Griddle-2 a1r","7683401""",
7685553,"""neuron 7685554","7685553""",
7699877,"""t2r contralateral pre lch5","7699877""",
7712252," ""large gap fragment right","7712252""",
7724403,"""neuron 7724404","7724403""",
7727550,"""neuron 7727551","7727550""",
7728206,"""neuron 7728208","7728206""",
7728316,"""neuron 7728318","7728316""",
7729078,"""neuron 7729079","7729078""",
7729945,"""neuron 7729946","7729945""",
7745569,"""neuron 7745570 gap at z1990","7745569""",
7747969,"""A08f a2r","7747969""",
7752030,"""Looks like griddle? a3r","7752030""",
7769237,"""A01k_a1l","7769237""",
7782409,"""drunken-4 a1l","7782409""",
7806772,"""neuron 7806773_1","7806772""",
7807080,"""non-ch partner 1 a1l","7807080""",
7808341,"""crescent a1l_JMpair 1 A08s upstream","7808341""",
7815876,"""flat LN t3l","7815876""",
7823087,"""A23i a1r","7823087""",
7862356,"""a30x_a1l","7862356""",
7934159,"""A27n_a1l","7934159""",
7964684,"""TePn19 classIV-related projection B left","7964684""",
7977969,"""A08f a4r","7977969""",
7992966,"""A02e_a1l","7992966""",
8039617,"""A08e3_a1r","8039617""",
8045800,"""Griddle-1 t3r","8045800""",
8059283,"""A08s1_a1l","8059283""",
8067524,"""SelN138 classIV-related descending sog right","8067524""",
8095561,"""Jaam-1_a1r (HMD1 (A12p))","8095561""",
8095967,"""Jaam-4 (HMD IV)_a1l","8095967""",
8192584,"""post-VLEL3 A1L (A19?_t3l)","8192584""",
8196192,"""Jaam-1_a1l (HMD1 (A12p))","8196192""",
8198913,"""VLEL4_a1r","8198913""",
8257688,"""A27p a1r","8257688""",
8371225,"""A02k Pseudolooper-1_a1r","8371225""",
8421329,"""A08e3_a1l","8421329""",
8477127,"""A08s1_a2r","8477127""",
8577316,"""Ladder-f a1","8577316""",
8602741,"""A08j2?_a2l  (top level LCH5 input not VLEL)","8602741""",
8614658,"""Ladder-a_t3l","8614658""",
8649329,"""A08s1_a2l","8649329""",
9307550,"""A10d_a2r","9307550""",
9354613,"""A10j_a3l","9354613""",
9544992,"""A01x3_a1l","9544992""",
9740415,"""contralateral lch5-1 PN t3r","9740415""",
9745466,"""neuron 9745467","9745466""",
9747432,"""a23X_a1r","9747432""",
9768166,"""A05x_a1l","9768166""",
9772513,"""A05x_a1r","9772513""",
9781885,"""looks like griddle a2l","9781885""",
9791965,"""A10? a1r","9791965""",
9867541,"""Griddle-1 t3l","9867541""",
9903957," ""Sweetness Left SOG neuron","9903957""",
10000252,"""neuron 10000253","10000252""",
10004243,"""A27k_a1r","10004243""",
10009820,"""neuron 10009821 with a soma","10009820""",
10015769,"""A27j_a1r","10015769""",
10017073,"""A27k_up_a1r","10017073""",
10047124,"""A18?_a1l","10047124""",
10053642,"""A09l_t3r Down-and-back-1","10053642""",
10054666,"""A19x a1l","10054666""",
10089193,"""A03a6_a1l","10089193""",
10089953," ""fragment","10089953""",
10090269,"""A27e(2)_a1l","10090269""",
10109601," ""ambiguous fragment","10109601""",
10133525,"""A14 dude?_a1r","10133525""",
10140573,"""A07x1_a1l","10140573""",
10158985,"""A08h4b_a2r","10158985""",
10179501,"""A09g a1l Basin-3","10179501""",
10210624," ""ambiguous fragment","10210624""",
10223572,"""A27h_a1l","10223572""",
10227539,"""crescent a1r","10227539""",
10247731,"""A23k_a1r","10247731""",
10247754,"""t3 contralateral lin 6?","10247754""",
10270347," ""ambiguous fragment","10270347""",
10272672,"""A09c_t3r Basin-4","10272672""",
10273045," ""ambiguous fragment","10273045""",
10273051,"""A09?_a3r","10273051""",
10273060,"""A03d?_a1l","10273060""",
10380647,"""A01j_a1l/TODO","10380647""",
10398171,"""A27h_a1r","10398171""",
10413917,"""A08e3_a2l","10413917""",
10557507,"""A03f?_a2r","10557507""",
10763004,"""T2 bilateral PN right","10763004""",
10804041,"""Griddle-2 a1l","10804041""",
10929797,"""VLEL4_a1l","10929797""",
10929871,"""A08c_a1r","10929871""",
11024782,"""A08h2_a2l (Jupiter left","11024782""",
11064947,"""A01bx_a1r","11064947""",
11186471,"""A10b_a1l","11186471""",
11208232,"""A07b_a1l","11208232""",
11465769,"""marathon family A1L (A07c4?) (post HMD I&II&III and POST SENSORY)","11465769""",
11466247,"""Jaam-2_a1l (HMD2 (A12g))","11466247""",
11507238,"""A07b_a2r","11507238""",
11528737,"""A02a_a2l looper-1","11528737""",
11579486,"""NOT a SN (lch5-3 PN a2l)","11579486""",
11638511," ""Tiger_left","11638511""",
11871574," ""BM : BALp neuron_left","11871574""",
11928389,"""Jaam-3_a1l (HMD3 (A12 c3))","11928389""",
11982072,"""A03d?_a1r","11982072""",
12001789,"""A08f a3r","12001789""",
12009196,"""neuron 12009197","12009196""",
12036009,"""A06f_a1r (Saaghi-2)","12036009""",
12044223,"""A05?_a1l_HOOD NEURON","12044223""",
12070159,"""A10d_a1l","12070159""",
12147878,"""A10b_a1r","12147878""",
12233573,"""A08f a2l","12233573""",
12244514,"""A19b a1r","12244514""",
12341083,"""aref-landmark neuron 11","12341083""",
12342654," ""Fragment","12342654""",
12393624,"""A08m2? a3r","12393624""",
12468812,"""A09l_a1l (Down-and-back-1)","12468812""",
12542019,"""A08f a5l","12542019""",
12750004,"""A02b_a2l","12750004""",
12767923,"""A10a_a2r Chair-1","12767923""",
12805899,"""Chair-?_a2r","12805899""",
12809152,"""A31d_a1l","12809152""",
12820085,"""A14b a1l","12820085""",
12820178,"""A02h_a1l","12820178""",
12820537,"""A08a_a1l","12820537""",
12834795,"""A14b a1r","12834795""",
12873722,"""A31d_a1r","12873722""",
12873914,"""A27e_a1l","12873914""",
12874044,"""A12f_a1l; post B5 41 a1l","12874044""",
12946335,"""A02o_a3r Wave-1","12946335""",
12953345,"""A02f_a1r","12953345""",
12960091,"""neuron 12960092 MAYBE FRAGMENT","12960091""",
12990250,"""Jaam-2_a1r (HMD2 (A12g))","12990250""",
12998937,"""A10i2?_a1l Chair-5?","12998937""",
13004884,"""A02a- looper-1_a1l_JMpair1","13004884""",
13023233,"""t10?_t2l","13023233""",
13122056,"""A00g_a1  (RF: assym)","13122056""",
13331383,"""A07f2_a1l (marathon)","13331383""",
13438376,"""post-VLEL3 A2L  (Y shaped neuron)_to be completed","13438376""",
13525684,"""A03a4_a2r","13525684""",
13774384,"""Jaam-x (HMD X?)_a1r","13774384""",
13775274,"""Jaam-3_a1r (HMD3 (A12 c3))","13775274""",
13917447," ""ambiguous fragment","13917447""",
14046245,"""A27a_a1r","14046245""",
14046279,"""A02d_a1l","14046279""",
14046294,"""A02d_a1r","14046294""",
14046301,"""A02d_a2l","14046301""",
14046308,"""A02d_a2r","14046308""",
14046464,"""A12b?_a1l","14046464""",
14046472,"""A12b?_a1r","14046472""",
14087339,"""MN4 (ISN U5 NB7-1?)_a1l","14087339""",
14385781,"""neuron 14385782","14385781""",
14386226,"""neuron 14386227 axonic","14386226""",
14386239,"""neuron 14386240","14386239""",
14419197,"""neuron 14419198","14419197""",
14419329,"""neuron 14419330","14419329""",
14500560,"""A12?_t3r","14500560""",
14531828,"""a05g_a1r","14531828""",
14544854,"""A23f1b_a (= Pre-goro10)_a2l_JMpair16","14544854""",
14586769,"""BAla34 brush left","14586769""",
14655206,"""incomplete_a2l (fasciculates with Saaghi)","14655206""",
14728550,"""A09e_a3r","14728550""",
14762103,"""Neuron 14762104","14762103""",
14795007,"""TePn19 classIV-related projection B right","14795007""",
14795310,"""A09e_a3l","14795310""",
14812545," ""Bashful_left","14812545""",
14858626,"""A02e_a1r","14858626""",
14866379,"""A02h_a1r","14866379""",
14866842,"""A02g_a1l","14866842""",
14899172,"""A08n classIV-related projection A right","14899172""",
14913093,"""A08s1_a1r","14913093""",
14930754,"""A08(X16)_a2l","14930754""",
14938436,"""neuron 14938437 with a soma","14938436""",
14950365,"""A12l_a1r (not A12 lineage)","14950365""",
14966092,"""Drunken-6? a1l","14966092""",
15199830,"""A02a- looper-1_a1r_JMpair1","15199830""",
15199884,"""drunken-6? a1r","15199884""",
15214892," ""Fragment","15214892""",
15214898,"""Fragment123","15214898""",
15233041,"""A02b_a1r","15233041""",
15233172," ""Fragment","15233172""",
15242799," ""BC ; Right","15242799""",
15284356,"""MARATHON RELATIVE (A07?)","15284356""",
15287264,"""IPSI LOCAL NEURON-POST SENSORY & POST HMD II A1L (TO FINISH) A03xxx","15287264""",
15290335,"""A27e(2)_a1r","15290335""",
15315491,"""A12?","15315491""",
15344242,"""A10d_a1r post HMD III & IV","15344242""",
15351228,"""A05?_a1r_HOOD NEURON","15351228""",
15352877,"""A26d_t3r_JMpair26","15352877""",
15352983," ""jozam ","15352983""",
15388368,"""neuron 15388369","15388368""",
15396750,"""A03b2_a3r","15396750""",
15468389," ""Fragment","15468389""",
15504369,"""A27j2_a1l_GABA","15504369""",
15504376,"""A27j2_a1r_GABA","15504376""",
15535782,"""A03b2_a4l","15535782""",
15555875,"""neuron 15555876","15555875""",
15555885,"""A10x_a1r","15555885""",
15560233,"""A06 (not A12?)_a1l","15560233""",
15561511,"""Likely Jupiter A08h2 a4l","15561511""",
15573780,"""neuron 15573781","15573780""",
15681965,"""Neuron 15681966","15681965""",
15701162,"""A12?_a2r","15701162""",
15765905,"""paired with 16232630 (neuron 15765906)_a2l","15765905""",
15871449,"""VLEL(X7)_a2r","15871449""",
15871780,"""A08i2_a2l","15871780""",
15878735,"""A08(X16)_a2r","15878735""",
15880910,"""A07b_a2l","15880910""",
15881246,"""A07?_VLEL(X7)_a2l","15881246""",
15883343,"""A02a_a2r looper-1","15883343""",
15895346,"""A06 (not A12?)_a1r","15895346""",
15898085,"""paired with 16119660 (neuron 15898085","15898085""",
15924717," ""Angry Eyes_left","15924717""",
15969063,"""neuron 15969064","15969063""",
15993792,"""T12?_t3l (A27k_up2;CCWpair)","15993792""",
15994252,"""a12?_a2r","15994252""",
16009772,"""A08c_a1l","16009772""",
16009799,"""A08s2_a2l","16009799""",
16009807,"""A08s2_a2r","16009807""",
16014849,"""A30x_a1r","16014849""",
16015673,"""Clamp-3 A12?_a2r","16015673""",
16015795,"""Clamp-3  A12?_a2l","16015795""",
16018123,"""T2r asc contra 01","16018123""",
16112458,"""A03 neuron 16112459_a1l","16112458""",
16119154,"""neuron 16119155_GAP_JMpair8","16119154""",
16119660,"""paired with  15765906 (neuron 16119660)_a3l","16119660""",
16139890,"""Neuron 16139891","16139890""",
16221632,"""Ladder a7","16221632""",
16228788," ""Fragment","16228788""",
16232415,"""A26d_t3l_JMpair26","16232415""",
16266121,"""A12?_a2l","16266121""",
16282415," ""Fragment","16282415""",
16330265,"""A19x a1r","16330265""",
16334915,"""Neuron 16334916","16334915""",
16506902," ""Fragment","16506902""",
16518870,"""A12?_a1l_JMpair26","16518870""",
16575803," ""Grumpy_right","16575803""",
16589933,"""A08? To Finish - Find Soma","16589933""",
16689313,"""neuron 16689314","16689313""",
16751955," ""Dumbo_right","16751955""",
16811615,"""neuron 16811616","16811615""",
16916273,"""contralateral lch5-1 PN t3l","16916273""",
16920012,"""Neuron 16920013_brother","16920012""",
17076440,"""neuron 17076441","17076440""",
17077347,"""A12f_a1r","17077347""",
17113366,"""Neuron 17113367","17113366""",
17114293,"""A27k_up_a1l","17114293""",
17232427,"""neuron 17232428","17232427""",
17248111,"""neuron 17248112","17248111""",
17269708,"""a23X_a1l","17269708""",
17330328," ""fragment","17330328""",
17429419,"""A10j_a4l","17429419""",
17634634," ""long ascending axon","17634634""",
17693220,"""A09l_a2r Down-and-back-1","17693220""",
17872154,"""A01d3_a1r","17872154""",
17904627,"""A27j_a1l","17904627""",
17956235,"""Neuron 17956236","17956235""",
17962981,"""neuron4 (not VLEL)_a1r","17962981""",
18120415,"""Jaam-4 [A12 (not A03?)]_a1r","18120415""",
18145093,"""A02g_a1r","18145093""",
18163351,"""neuron 18163352_to be completed","18163351""",
18231499,"""neuron 18231500","18231499""",
18245523,"""Neuron 18245524 no soma","18245523""",
18290487,"""Neuron 18290488","18290487""",
18430335,"""neuron 18430336 with soma","18430335""",
18504339,"""post B5 41 a2l","18504339""",
18619481," ""Back and forth","18619481""",
18762840,"""post-VLEL3 A1L (A19?_a1r)","18762840""",
18963687,"""A03?_a1l","18963687""",
18981220,"""TePn05 classIV-related projection C left","18981220""",
19120853,"""pCC a1r","19120853""",
19242617,"""A14 dude?_a1l","19242617""",
19310779,"""A08j2?_a2r (top level LCH5 input not VLEL)","19310779""",
19552695,"""A10x_a1l","19552695""",
19554543," ""VNC-IN-left","19554543""",
19806174,"""A08a_a1r","19806174""",
19895774,"""Neuron 19895775","19895774""",
19899298,"""Neuron 19899299","19899298""",
19942231," ""Fragment","19942231""",
20119745," ""Contralateral projections_CIII_connected neuron","20119745""",
20153309,"""Thoracic Ladder-1 t2","20153309""",
20215537,"""Neuron 20215538","20215537""",
20253950,"""A12y a1r","20253950""",
20301623,"""Neuron 20301624","20301623""",
20306340,"""Ladder_t3r mid_descending","20306340""",
20361774,"""Hook?_a1r","20361774""",
20382632,"""Neuron 20382633","20382632""",
20438424,"""A08v_a3l","20438424""",
20505406,"""Neuron 20505407","20505406""",
20548923,"""Neuron 20548924","20548923""",
20569924," ""ASB left diverse contralateral","20569924""",